pair_id,w1,w2
1,పండు,పండుగ
2,చర్మము,ధర్మము
3,అన్న,అక్క
4,పులి,పూలు
5,పాఠం,పాలన
6,అక్క,హక్కు
7,తర్కం,వర్షం
8,కళ్ళు,నీళ్ళు
9,వాక్యం,వైద్యం
10,ధర్మము,ధైర్యము
11,భూగోళశాస్త్రము,ఖగోళశాస్త్రము
12,ఆవు,పని
13,పని,పాలన
14,పండు,రైతు
15,పాఠం,పులి
16,పత్రం,వర్షం
17,కళ్ళు,పప్పు
18,ఆత్మ,సత్యము
19,న్యాయం,సహాయం
20,సత్యము,ధర్మము
21,వాహనము,విమానము
22,న్యాయం,వ్యవసాయం
23,విశ్వాసం,వ్యాసం
24,ఆరోగ్యము,ఆరోగ్యసేవ
25,అమ్మ,రచన
26,పాఠం,భూమి
27,అన్న,మందు
28,పులి,ఏనుగు
29,అమ్మ,నాన్న
30,కళ్ళు,కొలత
31,పువ్వు,పండు
32,కళ్ళు,పత్రం
33,జ్వరము,రోగము
34,విద్య,బుద్ధి
35,గుణము,వాహనము
36,కండరము,వాహనము
37,నీళ్ళు,పువ్వు
38,న్యాయము,సత్యము
39,సూర్యుడు,చంద్రుడు
40,సమాజశాస్త్రము,అర్థశాస్త్రము
41,ఖగోళశాస్త్రము,భాషాశాస్త్రము
42,గణితశాస్త్రము,భౌతికశాస్త్రము
43,పక్షి,చేప
44,ఆవు,కుక్క
45,ఆవు,సహాయం
46,ఆవు,భద్రత
47,ఏనుగు,పాఠం
48,ఖమ్మం,గాలి
49,పులి,శరీరం
50,చెట్టు,చేప
51,పండుగ,సమాజం
52,ఆకాశం,ఇడ్లీ
53,కళ్ళు,చెవులు
54,రక్తము,శ్వాస
55,పండుగ,పెళ్ళి
56,అవసరం,న్యాయం
57,చేతులు,కాళ్ళు
58,న్యాయం,సత్యము
59,కాళ్ళు,భోజనము
60,సంగీతము,నృత్యము
61,గుంటూరు,కర్నూలు
62,విజయవాడ,వ్యవహారం
63,చంద్రుడు,సంస్కరణలు
64,హైదరాబాద్,నిజామాబాద్
65,న్యాయస్థానము,న్యాయము
66,సాంకేతికత,సాంకేతికవిద్య
67,రాజ్యాంగము,రాజ్యాధికారము
68,విద్యాలయము,విశ్వవిద్యాలయము
69,రసాయనశాస్త్రము,జీవశాస్త్రము
70,వర్షము,గాలి
71,సింహము,పులి
72,నాటకము,కవిత
73,పండు,వ్యాధి
74,నొప్పి,రోగము
75,వరంగల్,ఖమ్మం
76,రోగము,నొప్పి
77,గ్రామం,పండుగ
78,కొండలు,వర్షం
79,కుక్క,నిరూపణ
80,ప్రయాణం,రైలు
81,మనిషి,వరంగల్
