pair_id,w1,w2,w1_unicode,w2_unicode,LED
1,విద్యాలయము,విశ్వవిద్యాలయము,"['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']","['0xc35', '0xc3f', '0xc36', '0xc4d', '0xc35', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']",5
2,కళాశాల,పాఠశాల,"['0xc15', '0xc33', '0xc3e', '0xc36', '0xc3e', '0xc32']","['0xc2a', '0xc3e', '0xc20', '0xc36', '0xc3e', '0xc32']",3
3,విద్యార్థులు,ఉపాధ్యాయుడు,"['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc30', '0xc4d', '0xc25', '0xc41', '0xc32', '0xc41']","['0xc09', '0xc2a', '0xc3e', '0xc27', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc41', '0xc21', '0xc41']",8
4,స్వతంత్రము,స్వాతంత్ర్యము,"['0xc38', '0xc4d', '0xc35', '0xc24', '0xc02', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc38', '0xc4d', '0xc35', '0xc3e', '0xc24', '0xc02', '0xc24', '0xc4d', '0xc30', '0xc4d', '0xc2f', '0xc2e', '0xc41']",3
5,గణితశాస్త్రము,భౌతికశాస్త్రము,"['0xc17', '0xc23', '0xc3f', '0xc24', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc2d', '0xc4c', '0xc24', '0xc3f', '0xc15', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",4
6,రసాయనశాస్త్రము,జీవశాస్త్రము,"['0xc30', '0xc38', '0xc3e', '0xc2f', '0xc28', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc1c', '0xc40', '0xc35', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",5
7,భూగోళశాస్త్రము,ఖగోళశాస్త్రము,"['0xc2d', '0xc42', '0xc17', '0xc4b', '0xc33', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc16', '0xc17', '0xc4b', '0xc33', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",2
8,సమాజశాస్త్రము,అర్థశాస్త్రము,"['0xc38', '0xc2e', '0xc3e', '0xc1c', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc05', '0xc30', '0xc4d', '0xc25', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",4
9,పర్యావరణశాస్త్రము,భాషాశాస్త్రము,"['0xc2a', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc35', '0xc30', '0xc23', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc2d', '0xc3e', '0xc37', '0xc3e', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",7
10,ప్రభుత్వము,పరిపాలనము,"['0xc2a', '0xc4d', '0xc30', '0xc2d', '0xc41', '0xc24', '0xc4d', '0xc35', '0xc2e', '0xc41']","['0xc2a', '0xc30', '0xc3f', '0xc2a', '0xc3e', '0xc32', '0xc28', '0xc2e', '0xc41']",6
11,న్యాయస్థానము,సర్వోన్నతన్యాయస్థానము,"['0xc28', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc38', '0xc4d', '0xc25', '0xc3e', '0xc28', '0xc2e', '0xc41']","['0xc38', '0xc30', '0xc4d', '0xc35', '0xc4b', '0xc28', '0xc4d', '0xc28', '0xc24', '0xc28', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc38', '0xc4d', '0xc25', '0xc3e', '0xc28', '0xc2e', '0xc41']",9
12,రాజ్యాంగము,రాజ్యాధికారము,"['0xc30', '0xc3e', '0xc1c', '0xc4d', '0xc2f', '0xc3e', '0xc02', '0xc17', '0xc2e', '0xc41']","['0xc30', '0xc3e', '0xc1c', '0xc4d', '0xc2f', '0xc3e', '0xc27', '0xc3f', '0xc15', '0xc3e', '0xc30', '0xc2e', '0xc41']",5
13,శాసనసభ,కార్యనిర్వాహక,"['0xc36', '0xc3e', '0xc38', '0xc28', '0xc38', '0xc2d']","['0xc15', '0xc3e', '0xc30', '0xc4d', '0xc2f', '0xc28', '0xc3f', '0xc30', '0xc4d', '0xc35', '0xc3e', '0xc39', '0xc15']",11
14,ప్రజాప్రతినిధి,ఎన్నికలు,"['0xc2a', '0xc4d', '0xc30', '0xc1c', '0xc3e', '0xc2a', '0xc4d', '0xc30', '0xc24', '0xc3f', '0xc28', '0xc3f', '0xc27', '0xc3f']","['0xc0e', '0xc28', '0xc4d', '0xc28', '0xc3f', '0xc15', '0xc32', '0xc41']",12
15,సత్యము,ధర్మము,"['0xc38', '0xc24', '0xc4d', '0xc2f', '0xc2e', '0xc41']","['0xc27', '0xc30', '0xc4d', '0xc2e', '0xc2e', '0xc41']",3
16,శాంతి,సహనశీలత,"['0xc36', '0xc3e', '0xc02', '0xc24', '0xc3f']","['0xc38', '0xc39', '0xc28', '0xc36', '0xc40', '0xc32', '0xc24']",6
17,స్నేహము,కరుణ,"['0xc38', '0xc4d', '0xc28', '0xc47', '0xc39', '0xc2e', '0xc41']","['0xc15', '0xc30', '0xc41', '0xc23']",7
18,గణితశాస్త్రము,పరిపాలనము,"['0xc17', '0xc23', '0xc3f', '0xc24', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc2a', '0xc30', '0xc3f', '0xc2a', '0xc3e', '0xc32', '0xc28', '0xc2e', '0xc41']",9
19,విశ్వవిద్యాలయము,స్వాతంత్ర్యము,"['0xc35', '0xc3f', '0xc36', '0xc4d', '0xc35', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']","['0xc38', '0xc4d', '0xc35', '0xc3e', '0xc24', '0xc02', '0xc24', '0xc4d', '0xc30', '0xc4d', '0xc2f', '0xc2e', '0xc41']",10
20,రసాయనశాస్త్రము,సంప్రదాయము,"['0xc30', '0xc38', '0xc3e', '0xc2f', '0xc28', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc38', '0xc02', '0xc2a', '0xc4d', '0xc30', '0xc26', '0xc3e', '0xc2f', '0xc2e', '0xc41']",11
21,భౌతికశాస్త్రము,కార్యక్రమము,"['0xc2d', '0xc4c', '0xc24', '0xc3f', '0xc15', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc15', '0xc3e', '0xc30', '0xc4d', '0xc2f', '0xc15', '0xc4d', '0xc30', '0xc2e', '0xc2e', '0xc41']",9
22,పర్యావరణశాస్త్రము,విప్లవోద్యమము,"['0xc2a', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc35', '0xc30', '0xc23', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc35', '0xc3f', '0xc2a', '0xc4d', '0xc32', '0xc35', '0xc4b', '0xc26', '0xc4d', '0xc2f', '0xc2e', '0xc2e', '0xc41']",13
