pair_id,w1,w2,LED
1,34;1;26;51,34;1;26;51;18,1
2,20;40;60;38;38;51,32;40;60;38;38;51,1
3,3;33;60;33,3;16;60;16,2
4,34;51;41;49,34;52;41;51,2
5,34;48;25;1,34;48;41;33,2
6,3;16;60;16,47;16;60;16;51,2
7,29;40;60;16;1,43;40;60;45;1,2
8,16;42;60;42;51,33;50;42;60;42;51,2
9,43;48;16;60;39;1,43;56;31;60;39;1,2
10,32;40;60;38;38;51,32;56;40;60;39;38;51,2
11,37;52;18;58;42;44;48;46;60;29;60;40;38;51,17;18;58;42;44;48;46;60;29;60;40;38;51,2
12,4;43;51,34;33;49,3
13,34;33;49,34;48;41;33,3
14,34;1;26;51,40;56;29;51,3
15,34;48;25;1,34;51;41;49,3
16,34;29;60;40;1,43;40;60;45;1,3
17,16;42;60;42;51,34;34;60;34;51,3
18,4;29;60;38,46;29;60;39;38;51,3
19,33;60;39;48;39;1,46;47;48;39;1,3
20,46;29;60;39;38;51,32;40;60;38;38;51,3
21,43;48;47;33;38;51,43;49;38;48;33;38;51,3
22,33;60;39;48;39;1,43;60;39;43;46;48;39;1,3
23,43;49;44;60;43;48;46;1,43;60;39;48;46;1,3
24,4;40;58;18;60;39;38;51,4;40;58;18;60;39;46;55;43,3
25,3;38;60;38,40;20;33,4
26,34;48;25;1,37;52;38;49,4
27,3;33;60;33,38;1;31;51,4
28,34;51;41;49,11;33;51;18;51,4
29,3;38;60;38,33;48;33;60;33,4
30,16;42;60;42;51,16;57;41;29,4
31,34;51;43;60;43;51,34;1;26;51,4
32,16;42;60;42;51,34;29;60;40;1,4
33,22;60;43;40;38;51,40;58;18;38;51,4
34,43;49;31;60;39,36;51;31;60;32;49,4
35,18;51;28;38;51,43;48;47;33;38;51,4
36,16;1;26;40;38;51,43;48;47;33;38;51,4
37,33;50;42;60;42;51,34;51;43;60;43;51,4
38,33;60;39;48;39;38;51,46;29;60;39;38;51,4
39,46;52;40;60;39;51;26;51,20;1;31;60;40;51;26;51,4
40,46;38;48;22;44;48;46;60;29;60;40;38;51,3;40;60;30;44;48;46;60;29;60;40;38;51,4
41,17;18;58;42;44;48;46;60;29;60;40;38;51,37;48;45;48;44;48;46;60;29;60;40;38;51,4
42,18;28;49;29;44;48;46;60;29;60;40;38;51,37;59;29;49;16;44;48;46;60;29;60;40;38;51,4
43,34;16;60;45;49,20;55;34,5
44,4;43;51,16;51;16;60;16,5
45,4;43;51,46;47;48;39;1,5
46,4;43;51,37;31;60;40;29,5
47,11;33;51;18;51,34;48;25;1,5
48,17;38;60;38;1,18;48;41;49,5
49,34;51;41;49,44;40;50;40;1,5
50,20;54;24;60;24;51,20;55;34,5
51,34;1;26;51;18,46;38;48;22;1,5
52,4;16;48;44;1,5;26;60;41;50,5
53,16;42;60;42;51,20;54;43;51;41;51,5
54,40;16;60;29;38;51,44;60;43;48;46,5
55,34;1;26;51;18,34;54;42;60;42;49,5
56,3;43;46;40;1,33;60;39;48;39;1,5
57,20;55;29;51;41;51,16;48;42;60;42;51,5
